Id,OwnerId,Name,RecordTypeId,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task1,$trdOperations_Manager,Minimize the number of entrance,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,0,$TaskGroup1,false,false,false,0,false,false,false
$Task2,$trdOperations_Manager,Provide hand sanitizer at doorways (inside and out),0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,1,$TaskGroup1,false,false,false,0,false,false,false
$Task3,$trdOperations_Manager,Temperature screening,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,2,$TaskGroup1,false,false,false,0,false,false,false
$Task4,$trdOperations_Manager,Provide floor markings for safe distancing queues,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,3,$TaskGroup1,false,false,false,0,false,false,false
$Task5,$trdOperations_Manager,Sanitized floor mats,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,4,$TaskGroup1,false,false,false,0,false,false,false
$Task6,$trdOperations_Staff,Prep reception,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,5,$TaskGroup1,false,false,false,0,false,false,false
$Task7,$trdOperations_Staff,Prep signage,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,6,$TaskGroup1,false,false,false,0,false,false,false
$Task8,$trdOperations_Staff,Prep PPE and cleaning,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,7,$TaskGroup1,false,false,false,0,false,false,false
$Task9,$trdOperations_Manager,Review current processes for deliveries,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,0,$TaskGroup3,false,false,false,0,false,false,false
$Task10,$trdOperations_Staff,Routing instructions through areas that will minimize contact,0125w000001DGLdAAO,false,false,false,Holding,Normal,$Project1,false,Does not repeat,0,Not Yet Started,false,false,false,false,1,$TaskGroup3,false,false,false,0,false,false,false
