Id,TASKRAY__trSuccessorTask__c,TASKRAY__trDependencyType__c,TASKRAY__trLag__c,TASKRAY__trPredecessorTask__c
$Dependency1,$Task1,Finish-To-Start,0,$Task6
$Dependency2,$Task2,Finish-To-Start,0,$Task6
$Dependency3,$Task3,Finish-To-Start,-1,$Task5
$Dependency4,$Task4,Start-To-Start,0,$Task27
$Dependency5,$Task5,Start-To-Start,-1,$Task11
$Dependency6,$Task6,Finish-To-Start,-1,$Task24
$Dependency7,$Task9,Start-To-Start,0,$Task8
$Dependency8,$Task10,Finish-To-Start,0,$Task19
$Dependency9,$Task11,Finish-To-Start,0,$Task6
$Dependency10,$Task12,Finish-To-Start,0,$Task9
$Dependency11,$Task13,Start-To-Start,0,$Task12
$Dependency12,$Task14,Start-To-Start,0,$Task17
$Dependency13,$Task15,Finish-To-Start,0,$Task13
$Dependency14,$Task16,Start-To-Start,0,$Task21
$Dependency15,$Task17,Finish-To-Start,-1,$Task15
$Dependency16,$Task18,Start-To-Start,0,$Task16
$Dependency17,$Task19,Finish-To-Start,-2,$Task28
$Dependency18,$Task21,Start-To-Start,0,$Task14
$Dependency19,$Task22,Finish-To-Start,2,$Task25
$Dependency20,$Task23,Finish-To-Start,0,$Task29
$Dependency21,$Task24,Start-To-Start,3,$Task20
$Dependency22,$Task25,Finish-To-Start,1,$Task18
$Dependency23,$Task27,Start-To-Start,0,$Task26
$Dependency24,$Task28,Start-To-Start,0,$Task4
$Dependency25,$Task29,Start-To-Start,0,$Task7
