Id,OwnerId,Name,RecordTypeId,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task1,$trdExecutive,Review & update closing plan (monthly),0125w000001DGLdAAO,FALSE,FALSE,$T+28,FALSE,Holding,Normal,$Project1,FALSE,Monthly,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,3,$T+28,$TaskGroup1,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task2,$trdExecutive,Activate Pandemic Response Team,0125w000001DGLdAAO,FALSE,FALSE,$T+28,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,4,$T+28,$TaskGroup1,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task3,$trdOperations_Manager,Restrict exits to enable identification of each person leaving facility,0125w000001DGLdAAO,FALSE,FALSE,$T+29,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,FALSE,FALSE,7,$T+27,$TaskGroup2,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task4,$trdOperations_Manager,Send email to customers alerting them of closure,0125w000001DGLdAAO,FALSE,FALSE,$T+44,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,FALSE,FALSE,22,$T+42,$TaskGroup4,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task5,$trdOperations_Manager,"Activate contact tracing procedure, if exposure",0125w000001DGLdAAO,FALSE,FALSE,$T+27,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,6,$T+27,$TaskGroup2,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task6,$trdOperations_Staff,Train employees on remote work tools,0125w000001DGLdAAO,FALSE,FALSE,$T+27,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,2,$T+27,$TaskGroup1,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task7,$trdOperations_Staff,"Schedule a cadence for communication with employees, vendors, and customers",0125w000001DGLdAAO,FALSE,FALSE,$T+48,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,26,$T+48,$TaskGroup5,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task8,$trdOperations_Staff,Turn off electronics and office equipment,0125w000001DGLdAAO,FALSE,FALSE,$T+27,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,8,$T+27,$TaskGroup3,FALSE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task9,$trdOperations_Staff,Arrage disconnection of all utilities if needed,0125w000001DGLdAAO,FALSE,FALSE,$T+27,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,9,$T+27,$TaskGroup3,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
$Task10,$trdOperations_Staff,Arrange facility deep-cleaning,0125w000001DGLdAAO,FALSE,FALSE,$T+49,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,FALSE,FALSE,25,$T+49,$TaskGroup4,TRUE,FALSE,FALSE,0,FALSE,FALSE,TRUE
