Id,Name,TASKRAY__Project_Task__c,TASKRAY__Completed__c,TASKRAY__SortOrder__c,TASKRAY__trChecklistGroup__c,TASKRAY__trLongName__c,TASKRAY__trOwner__c
$Item1,Actively encourage sick employees to stay home,$Task2,false,0,$Group3,Actively encourage sick employees to stay home,$User: Alex Medrano
$Item2,"Review, modify & document sick leave policies",$Task2,false,0,$Group2,"Review, modify & document sick leave policies",$User: Alex Medrano
$Item3,Educate managers and employees,$Task2,false,1,$Group2,Educate managers and employees,$User: Alex Medrano
$Item4,Colorado sick time policy: https://www.colorado.gov/pacific/cdle/news/state-labo,$Task2,false,0,$Group5,Colorado sick time policy: https://www.colorado.gov/pacific/cdle/news/state-labor-department-releases-emergency-rules-paid-sick-leave-covid-19,$User: Alex Medrano
$Item5,Educate managers and employees,$Task3,false,1,$Group4,Educate managers and employees,$User: Alex Medrano
$Item6,Permit employees to stay home to care for a sick family member,$Task2,false,1,$Group3,Permit employees to stay home to care for a sick family member,$User: Alex Medrano
$Item7,"Review, modify & document flexible working policies",$Task3,false,0,$Group4,"Review, modify & document flexible working policies",$User: Alex Medrano
$Item8,"Require employees who become sick to notify their supervisor, stay home and call",$Task2,false,2,$Group3,"Require employees who become sick to notify their supervisor, stay home and call a healthcare provider for advice if needed",$User: Alex Medrano
$Item9,Do a walk through to identify areas of risk/concerns (take pictures),$Task59,false,0,$Group26,Do a walk through to identify areas of risk/concerns (take pictures),$User: Alex Medrano
$Item10,Determine what you to do it counts exceed safe limits,$Task79,false,0,$Group6,Determine what you to do it counts exceed safe limits,$User: Alex Medrano
$Item11,Clearly signpost queuing areas,$Task24,false,4,$Group14,Clearly signpost queuing areas,$User: Alex Medrano
$Item12,Enhance cleaning plans to ensure proper on-going cleaning of high touch surfaces,$Task97,false,0,$Group25,Enhance cleaning plans to ensure proper on-going cleaning of high touch surfaces,$User: Alex Medrano
$Item13,Ensure compliance w/current health & safety regulations in your areas,$Task97,false,3,$Group25,Ensure compliance w/current health & safety regulations in your areas,$User: Alex Medrano
$Item14,Contact local public health department to obtain local guidance/rules,$Task10,false,0,$Group9,Contact local public health department to obtain local guidance/rules,$User: Alex Medrano
$Item15,Determine how you will operate if absenteeism spikes,$Task6,false,0,$Group1,Determine how you will operate if absenteeism spikes,$User: Alex Medrano
$Item16,Identify alternative suppliers,$Task6,false,1,$Group1,Identify alternative suppliers,$User: Alex Medrano
$Item17,Temporarily suspend some of your operations if needed,$Task6,false,3,$Group1,Temporarily suspend some of your operations if needed,$User: Alex Medrano
$Item18,CDC Guidance: https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-busin,$Task9,false,0,$Group8,CDC Guidance: https://www.cdc.gov/coronavirus/2019-ncov/community/guidance-business-response.html,$User: Alex Medrano
$Item19,OSHA Guidance & Alerts: https://www.osha.gov/SLTC/covid-19/,$Task9,false,3,$Group8,OSHA Guidance & Alerts: https://www.osha.gov/SLTC/covid-19/,$User: Alex Medrano
$Item20,Guidance on Masks: https://covid19.colorado.gov/mask-guidance,$Task9,false,4,$Group8,Guidance on Masks: https://covid19.colorado.gov/mask-guidance,$User: Alex Medrano
$Item21,Prioritize customers,$Task6,false,2,$Group1,Prioritize customers,$User: Alex Medrano
$Item22,PPE Sources: https://energizecolorado.com/get-ppe-and-supplies/,$Task9,false,1,$Group8,PPE Sources: https://energizecolorado.com/get-ppe-and-supplies/,$User: Alex Medrano
$Item23,CDC Printable Signage: https://www.cdc.gov/nonpharmaceutical-interventions/tools,$Task9,false,5,$Group8,CDC Printable Signage: https://www.cdc.gov/nonpharmaceutical-interventions/tools-resources/educational-materials.html,$User: Alex Medrano
$Item24,Social Distancing Worksheet: https://docs.google.com/document/d/1BqYmwsMb4jnSa4o,$Task9,false,2,$Group8,Social Distancing Worksheet: https://docs.google.com/document/d/1BqYmwsMb4jnSa4ovPRsWFUlVCnh_u7NX/edit,$User: Alex Medrano
$Item25,Sanitize incoming shipments and deliveries—OR—hold in receiving area for 24-48 h,$Task50,false,6,$Group23,Sanitize incoming shipments and deliveries—OR—hold in receiving area for 24-48 hours,$User: Alex Medrano
$Item26,Reduce capacity of spaces (e.g. remove chairs from large rooms),$Task37,false,6,$Group27,Reduce capacity of spaces (e.g. remove chairs from large rooms),$User: Alex Medrano
$Item27,Add sensors to monitor use of workspace (use data to modify use),$Task67,false,2,$Group33,Add sensors to monitor use of workspace (use data to modify use),$User: Alex Medrano
$Item28,Install signage explaining building access rules and other traffic flow protocol,$Task49,false,0,$Group13,Install signage explaining building access rules and other traffic flow protocols in relevant locations,$User: Alex Medrano
$Item29,Test front-line reception personnel on a regular basis,$Task62,false,0,$Group30,Test front-line reception personnel on a regular basis,$User: Alex Medrano
$Item30,Remove or disable registration kiosks/touchscreens,$Task62,false,4,$Group30,Remove or disable registration kiosks/touchscreens,$User: Alex Medrano
$Item31,Touchless registration via personal mobile phone,$Task62,false,5,$Group30,Touchless registration via personal mobile phone,$User: Alex Medrano
$Item32,Disposable security tags (stickers) instead of reusable clips or lanyards for gu,$Task62,false,6,$Group30,Disposable security tags (stickers) instead of reusable clips or lanyards for guest identification,$User: Alex Medrano
$Item33,Remove reception furniture,$Task62,false,7,$Group30,Remove reception furniture,$User: Alex Medrano
$Item34,"Provide sanitizer, wipes and PPE to building employees/guests",$Task62,false,8,$Group30,"Provide sanitizer, wipes and PPE to building employees/guests",$User: Alex Medrano
$Item35,"Review, modify & document elevator and escalator protocols and procedures",$Task18,false,0,$Group17,"Review, modify & document elevator and escalator protocols and procedures",$User: Alex Medrano
$Item36,Communicate new protocols to employees/tenants,$Task18,false,1,$Group17,Communicate new protocols to employees/tenants,$User: Alex Medrano
$Item37,Install signage explaining elevator/escalator use,$Task18,false,2,$Group17,Install signage explaining elevator/escalator use,$User: Alex Medrano
$Item38,Train relevant staff,$Task18,false,3,$Group17,Train relevant staff,$User: Alex Medrano
$Item39,Staggering arrival times to reduce traffic entering facility from parking garage,$Task66,false,0,$Group12,Staggering arrival times to reduce traffic entering facility from parking garages,$User: Alex Medrano
$Item40,Disposable mask dispensing station if first point of entry,$Task66,false,1,$Group12,Disposable mask dispensing station if first point of entry,$User: Alex Medrano
$Item41,Installing touchless hardware / systems that allow the opening and closing of ba,$Task20,false,0,$Group18,Installing touchless hardware / systems that allow the opening and closing of bathroom doors,$User: Alex Medrano
$Item42,Floor stickers inside elevators to show people where to stand,$Task18,false,4,$Group11,Floor stickers inside elevators to show people where to stand,$User: Alex Medrano
$Item43,Add touch-free hand sanitizer dispensers inside and outside doorways,$Task59,false,6,$Group24,Add touch-free hand sanitizer dispensers inside and outside doorways,$User: Alex Medrano
$Item44,Socially distanced queues for waiting passengers,$Task18,false,1,$Group11,Socially distanced queues for waiting passengers,$User: Alex Medrano
$Item45,Escalators: signage telling passengers where to stand and directing them not to,$Task18,false,5,$Group11,Escalators: signage telling passengers where to stand and directing them not to pass,$User: Alex Medrano
$Item46,Rearrange equipment to achieve social distancing,$Task24,false,3,$Group14,Rearrange equipment to achieve social distancing,$User: Alex Medrano
$Item47,Food Safety: https://www.sfcdcp.org/wp-content/uploads/2020/04/COVID19-Food-Deli,$Task24,false,0,$Group15,Food Safety: https://www.sfcdcp.org/wp-content/uploads/2020/04/COVID19-Food-Delivery-Guidance-FINAL-04.16.2020.pdf,$User: Alex Medrano
$Item48,Modify bicycle storage unit/area policies,$Task26,false,1,$Group34,Modify bicycle storage unit/area policies,$User: Alex Medrano
$Item49,"Require use of face masks in fitness facilities (provide disposable, if possible",$Task26,false,2,$Group34,"Require use of face masks in fitness facilities (provide disposable, if possible)",$User: Alex Medrano
$Item50,Remove magazines,$Task26,false,4,$Group34,Remove magazines,$User: Alex Medrano
$Item51,Rearrange equipment to achieve social distancing,$Task26,false,5,$Group34,Rearrange equipment to achieve social distancing,$User: Alex Medrano
$Item52,Install touchless access,$Task26,false,6,$Group34,Install touchless access,$User: Alex Medrano
$Item53,"Install directional signage/floor markings at multiple, relevant locations in th",$Task49,false,1,$Group13,"Install directional signage/floor markings at multiple, relevant locations in the entry sequence",$User: Alex Medrano
$Item54,Temporarily close classrooms/training rooms,$Task30,false,0,$Group31,Temporarily close classrooms/training rooms,$User: Alex Medrano
$Item55,Reduce classroom capacities/rearrange seating to allow for social distancing,$Task30,false,1,$Group31,Reduce classroom capacities/rearrange seating to allow for social distancing,$User: Alex Medrano
$Item56,Secure/lock supplies storage,$Task34,false,0,$Group16,Secure/lock supplies storage,$User: Alex Medrano
$Item57,Disable/decommission room reservation panels outside meeting rooms,$Task37,false,0,$Group27,Disable/decommission room reservation panels outside meeting rooms,$User: Alex Medrano
$Item58,Remove shared conference phones and encourage the use of personal mobile phones,$Task37,false,1,$Group27,Remove shared conference phones and encourage the use of personal mobile phones or laptop softphones for teleconferences,$User: Alex Medrano
$Item59,Offer only pre-packaged foods,$Task24,false,1,$Group14,Offer only pre-packaged foods,$User: Alex Medrano
$Item60,Colorado Dept of Health Screening guidance:  https://covid19.colorado.gov/sympto,$Task59,false,0,$Group28,Colorado Dept of Health Screening guidance:  https://covid19.colorado.gov/symptom-screening,$User: Alex Medrano
$Item61,Assign delivery management and sterilization to specific employee(s),$Task50,false,2,$Group23,Assign delivery management and sterilization to specific employee(s),$User: Alex Medrano
$Item62,Remove whiteboard pens and erasers and encourage individuals to bring and manage,$Task37,false,2,$Group27,Remove whiteboard pens and erasers and encourage individuals to bring and manage their own,$User: Alex Medrano
$Item63,Remove remote control handsets and provide instructions for manual equipment use,$Task37,false,4,$Group27,Remove remote control handsets and provide instructions for manual equipment use instead,$User: Alex Medrano
$Item64,Decommission or repurpose rooms that can not serve as meeting rooms under social,$Task37,false,5,$Group27,Decommission or repurpose rooms that can not serve as meeting rooms under social distancing guidelines,$User: Alex Medrano
$Item65,Provide prepackaged items,$Task41,false,3,$Group35,Provide prepackaged items,$User: Alex Medrano
$Item66,Provide single use gloves,$Task41,false,6,$Group35,Provide single use gloves,$User: Alex Medrano
$Item67,Use alternate desks,$Task43,false,0,$Group32,Use alternate desks,$User: Alex Medrano
$Item68,Temporarily close fitness facilities,$Task26,false,0,$Group34,Temporarily close fitness facilities,$User: Alex Medrano
$Item69,Reduce entry points in order to monitor incoming traffic,$Task59,false,2,$Group24,Reduce entry points in order to monitor incoming traffic,$User: Alex Medrano
$Item70,Signage communicating elevator use protocols (include passenger limits and safe,$Task18,false,3,$Group11,Signage communicating elevator use protocols (include passenger limits and safe distances between people) inside and outside of elevators,$User: Alex Medrano
$Item71,Add touchless door opening / closing solutions,$Task59,false,4,$Group24,Add touchless door opening / closing solutions,$User: Alex Medrano
$Item72,"Review, modify & document visitor policies",$Task62,false,1,$Group10,"Review, modify & document visitor policies",$User: Alex Medrano
$Item73,Designate person to handle feedback/concerns,$Task43,false,7,$Group32,Designate person to handle feedback/concerns,$User: Alex Medrano
$Item74,"If desks or work areas are shared, advise individuals to sanitize all surfaces u",$Task65,false,1,$Group21,"If desks or work areas are shared, advise individuals to sanitize all surfaces upon arrival",$User: Alex Medrano
$Item75,Expand drop-off/delivery/receiving time windows to prevent overcrowding,$Task50,false,0,$Group23,Expand drop-off/delivery/receiving time windows to prevent overcrowding,$User: Alex Medrano
$Item76,Designate single location for deliveries and disinfecting,$Task50,false,1,$Group23,Designate single location for deliveries and disinfecting,$User: Alex Medrano
$Item77,Route deliveries through areas that will minimize contact with the larger buildi,$Task50,false,4,$Group23,"Route deliveries through areas that will minimize contact with the larger building population (avoid main, and employee, entrances)",$User: Alex Medrano
$Item78,Add panels between desks (height adjustable panels for sit/stand desks),$Task43,false,3,$Group32,Add panels between desks (height adjustable panels for sit/stand desks),$User: Alex Medrano
$Item79,Implement a reservation system for workstations,$Task43,false,4,$Group32,Implement a reservation system for workstations,$User: Alex Medrano
$Item80,Provide disposable or washable clothing covers (e.g. dry-cleaning bags) for indi,$Task43,false,6,$Group32,Provide disposable or washable clothing covers (e.g. dry-cleaning bags) for individuals to use to cover/contain their coats or PPE,$User: Alex Medrano
$Item81,Allow non-essential employees to work from home to reduce personnel density,$Task67,false,0,$Group33,Allow non-essential employees to work from home to reduce personnel density,$User: Alex Medrano
