Id,TASKRAY__trSuccessorTask__c,TASKRAY__trDependencyType__c,TASKRAY__trLag__c,TASKRAY__trPredecessorTask__c
$Dependency1,$Task7,Finish-To-Start,4,$Task78
$Dependency2,$Task11,Finish-To-Start,-1,$Task17
$Dependency3,$Task17,Finish-To-Start,-1,$Task72
$Dependency4,$Task47,Finish-To-Start,-1,$Task46
$Dependency5,$Task52,Finish-To-Start,-1,$Task51
$Dependency6,$Task53,Finish-To-Start,-1,$Task52
$Dependency7,$Task53,Finish-To-Start,-1,$Task51
$Dependency8,$Task55,Finish-To-Start,0,$Task68
$Dependency9,$Task57,Finish-To-Start,-1,$Task65
$Dependency10,$Task61,Finish-To-Start,-1,$Task64
$Dependency11,$Task63,Finish-To-Start,-1,$Task61
$Dependency12,$Task68,Finish-To-Start,-1,$Task67
$Dependency13,$Task71,Finish-To-Start,-1,$Task73
$Dependency14,$Task73,Finish-To-Start,-1,$Task57
$Dependency15,$Task74,Finish-To-Start,-1,$Task75
$Dependency16,$Task76,Finish-To-Start,-1,$Task74
$Dependency17,$Task77,Finish-To-Start,-1,$Task103
$Dependency18,$Task78,Finish-To-Start,9,$Task103
$Dependency19,$Task79,Finish-To-Start,-1,$Task78
$Dependency20,$Task80,Finish-To-Start,-1,$Task78
$Dependency21,$Task83,Finish-To-Start,4,$Task78
$Dependency22,$Task85,Finish-To-Start,-1,$Task101
$Dependency23,$Task86,Finish-To-Start,-1,$Task78
$Dependency24,$Task87,Finish-To-Start,4,$Task78
$Dependency25,$Task88,Finish-To-Start,-1,$Task101
$Dependency26,$Task90,Finish-To-Start,-1,$Task101
$Dependency27,$Task91,Finish-To-Start,1,$Task97
$Dependency28,$Task96,Finish-To-Start,0,$Task102
$Dependency29,$Task101,Finish-To-Start,0,$Task96
$Dependency30,$Task103,Finish-To-Start,-1,$Task101
$Dependency31,$Task108,Finish-To-Start,4,$Task78
