Id,OwnerId,Name,TASKRAY__Archived__c,TASKRAY__Blocked__c,TASKRAY__Deadline__c,TASKRAY__Dependent_Update_Pending__c,TASKRAY__List__c,TASKRAY__Priority__c,TASKRAY__Project__c,TASKRAY__RepeatCreated__c,TASKRAY__Repeat_Interval_Type__c,TASKRAY__SortOrder__c,TASKRAY__Status__c,TASKRAY__trBusinessDuration__c,TASKRAY__trBusinessHrsOverride__c,TASKRAY__trCompleted__c,TASKRAY__trEstimatedHours__c,TASKRAY__trIsMilestone__c,TASKRAY__trLockDates__c,TASKRAY__trProjectSortOrder__c,TASKRAY__trStartDate__c,TASKRAY__trTaskGroup__c,TASKRAY__trPredecessorTasksIncomplete__c,TASKRAY__trScheduleConflict__c,TASKRAY__trInternalOnly__c,TASKRAY__trNumberOfTimesBlocked__c,TASKRAY__trCompletedAheadOfSchedule2__c,TASKRAY__trCompletedBehindSchedule2__c,TASKRAY__trAvailableExternal__c
$Task1,$trdExecutive,Response Team kick off meeting,FALSE,FALSE,$T-11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,1,$T-11,$TaskGroup2,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task2,$trdExecutive,"Sick Leave: review, modify & document policies",FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,18,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task3,$trdExecutive,"WFH: review, modify & document policies",FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,17,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task4,$trdExecutive,"Guest & Visitors: review, modify & document policies",FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,19,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task5,$trdExecutive,"Employee Travel: review, modify & document policies",FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,20,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task6,$trdOperations_Manager,Create a Business Continuity Plan,FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,21,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task7,$trdOperations_Manager,Update protocols if/when guidelines change,FALSE,FALSE,$T+54,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,6,FALSE,FALSE,,FALSE,FALSE,109,$T+49,$TaskGroup24,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task8,$trdOperations_Manager,"Determine procedure to track affected employees, customers, vendors",FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,4,FALSE,FALSE,,FALSE,FALSE,7,$T+3,$TaskGroup21,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task9,$trdOperations_Manager,Determine overall PPE & social distancing requirements,FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,15,$T+4,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task10,$trdOperations_Manager,Coordinate with State & Local Health Officials to ensure compliance,FALSE,FALSE,$T+6,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,16,$T+6,$TaskGroup1,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task11,$trdOperations_Staff,Post signage clearly stating protocols,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,84,$T+15,$TaskGroup18,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task12,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,27,$T+8,$TaskGroup5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task13,$trdOperations_Staff,Install signage explaining shipping & receiving procedures,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,28,$T+9,$TaskGroup5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task14,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+11,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,29,$T+11,$TaskGroup5,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task15,$trdOperations_Staff,Communicate new protocols to employees/tenant,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,31,$T+8,$TaskGroup8,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task16,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,35,$T+8,$TaskGroup3,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task17,$trdOperations_Manager,Communicate new practices to employees,FALSE,FALSE,$T+15,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,83,$T+15,$TaskGroup18,TRUE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task18,$trdOperations_Staff,"Elevator & Escalator Protocols: review, update & document",FALSE,FALSE,$T+9,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,24,$T+9,$TaskGroup11,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task19,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,33,$T+10,$TaskGroup8,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task20,$trdOperations_Staff,"Review, modify & document shared restroom protocols",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,34,$T+8,$TaskGroup3,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task21,$trdOperations_Staff,Install signage explaining restroom policies & procedures,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,36,$T+8,$TaskGroup3,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task22,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,37,$T+10,$TaskGroup3,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task23,$trdOperations_Staff,Install signage explaining new shared storage space policies,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,52,$T+8,$TaskGroup6,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task24,$trdOperations_Staff,"Review, modify & document food service amenities and protocols",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,38,$T+8,$TaskGroup4,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task25,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,41,$T+10,$TaskGroup4,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task26,$trdOperations_Staff,"Review, modify & document fitness facilities amenities and protocols",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,42,$T+8,$TaskGroup13,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task27,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,43,$T+8,$TaskGroup13,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task28,$trdOperations_Staff,Install signage explaining new fitness facility policies,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,44,$T+8,$TaskGroup13,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task29,$trdOperations_Manager,Train relevant staff,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,45,$T+10,$TaskGroup13,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task30,$trdOperations_Staff,"Review, modify & document training room/classroom protocols",FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,46,$T+8,$TaskGroup14,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task31,$trdOperations_Staff,Communicate new protocols to employees/tenants,FALSE,FALSE,$T+8,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,1,FALSE,FALSE,,FALSE,FALSE,47,$T+8,$TaskGroup14,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
$Task32,$trdOperations_Staff,Install signage explaining new training room/classroom policies,FALSE,FALSE,$T+10,FALSE,Holding,Normal,$Project1,FALSE,Does not repeat,0,Not Yet Started,3,FALSE,FALSE,,FALSE,FALSE,48,$T+8,$TaskGroup14,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE
