Id,TASKRAY__trSuccessorTask__c,TASKRAY__trDependencyType__c,TASKRAY__trLag__c,TASKRAY__trPredecessorTask__c
$Dependency1,$Task4,Finish-To-Start,1,$Task5
$Dependency2,$Task7,Finish-To-Start,0,$Task9
$Dependency3,$Task6,Finish-To-Start,0,$Task1
$Dependency4,$Task11,Finish-To-Start,0,$Task8
$Dependency5,$Task12,Finish-To-Start,0,$Task2
$Dependency6,$Task1,Finish-To-Start,0,$Task7
$Dependency7,$Task9,Finish-To-Start,0,$Task4
$Dependency8,$Task10,Finish-To-Start,0,$Task11
$Dependency9,$Task8,Finish-To-Start,0,$Task6
$Dependency10,$Task2,Finish-To-Start,0,$Task10
$Dependency11,$Task5,Finish-To-Start,0,$Task3
